| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                                     | remediation                                                                                | metadata                                                                                                                                | cache_key                                                                                |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_loja_status_date\` on table \`public.propostas\` has not been used                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_loja_status_date                             |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_analista\` on table \`public.propostas\` has not been used                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_analista                                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_status_loja\` on table \`public.propostas\` has not been used                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_status_loja                                  |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_propostas_user_status\` on table \`public.propostas\` has not been used                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"propostas","type":"table","schema":"public"}                                                                                   | unused_index_public_propostas_idx_propostas_user_status                                  |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_profiles_user_role\` on table \`public.profiles\` has not been used                                                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"profiles","type":"table","schema":"public"}                                                                                    | unused_index_public_profiles_idx_profiles_user_role                                      |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_comunicacao_logs_created_at\` on table \`public.comunicacao_logs\` has not been used                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"comunicacao_logs","type":"table","schema":"public"}                                                                            | unused_index_public_comunicacao_logs_idx_comunicacao_logs_created_at                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_comunicacao_logs_proposta_id\` on table \`public.comunicacao_logs\` has not been used                                                                          | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"comunicacao_logs","type":"table","schema":"public"}                                                                            | unused_index_public_comunicacao_logs_idx_comunicacao_logs_proposta_id                    |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_comunicacao_logs_user_id\` on table \`public.comunicacao_logs\` has not been used                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"comunicacao_logs","type":"table","schema":"public"}                                                                            | unused_index_public_comunicacao_logs_idx_comunicacao_logs_user_id                        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_comunicacao_logs_loja_id\` on table \`public.comunicacao_logs\` has not been used                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"comunicacao_logs","type":"table","schema":"public"}                                                                            | unused_index_public_comunicacao_logs_idx_comunicacao_logs_loja_id                        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_proposta_logs_proposta_id\` on table \`public.proposta_logs\` has not been used                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"proposta_logs","type":"table","schema":"public"}                                                                               | unused_index_public_proposta_logs_idx_proposta_logs_proposta_id                          |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_proposta_logs_autor_id\` on table \`public.proposta_logs\` has not been used                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"proposta_logs","type":"table","schema":"public"}                                                                               | unused_index_public_proposta_logs_idx_proposta_logs_autor_id                             |
